Value,Name,Stack Size,Effect,Locations,"","","","","","",Drop Restrictions
20.43,"=HYPERLINK(""https://pathofexile.gamepedia.com/A_Dab_of_Ink"",  ""A Dab of Ink"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Poet%27s_Pen"",  ""The Poet's Pen"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Library"",  ""The Library"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Museum_Map_(Betrayal)"",  ""Museum Map"")","","","","","",N/A
0.56,"=HYPERLINK(""https://pathofexile.gamepedia.com/A_Mother%27s_Parting_Gift"",  ""A Mother's Parting Gift"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Fertile_Mind"",  ""Fertile Mind"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Imperial_Gardens"",  ""The Imperial Gardens"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_High_Gardens"",  ""The High Gardens"")","","","","","",N/A
72.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Abandoned_Wealth"",  ""Abandoned Wealth"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Exalted_Orb"",  ""3x Exalted Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arsenal_Map_(Betrayal)"",  ""Arsenal Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Precinct_Map_(Betrayal)"",  ""Precinct Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mao_Kun_(Betrayal)"",  ""Mao Kun"")","","","","",N/A
0.42,"=HYPERLINK(""https://pathofexile.gamepedia.com/Anarchy%27s_Price"",  ""Anarchy's Price"")",13,"=HYPERLINK(""https://pathofexile.gamepedia.com/Voltaxic_Rift"",  ""Voltaxic RiftCorrupted"")","","","","","","","",Can drop from Rogue Exiles.
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Assassin%27s_Favour"",  ""Assassin's Favour"")",9,"=HYPERLINK("""",  ""Dagger"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Marketplace"",  ""The Marketplace"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Quay"",  ""The Quay"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Alleyways_Map_(Betrayal)"",  ""Alleyways Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arcade_Map_(Betrayal)"",  ""Arcade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bazaar_Map_(Betrayal)"",  ""Bazaar Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Park_Map_(Betrayal)"",  ""Park Map"")","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Atziri%27s_Arsenal"",  ""Atziri's Arsenal"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""WeaponCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaults_of_Atziri_(Betrayal)"",  ""Vaults of Atziri"")","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Audacity"",  ""Audacity"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Doryani%27s_Fist"",  ""Doryani's FistCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Apex_of_Sacrifice"",  ""The Apex of Sacrifice"")","","","","","","",N/A
672.88,"=HYPERLINK(""https://pathofexile.gamepedia.com/Beauty_Through_Death"",  ""Beauty Through Death"")",5,"=HYPERLINK("""",  ""Queen's Sacrifice"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Temple_Map_(Betrayal)"",  ""Vaal Temple Map"")","","","","","","",N/A
"","=HYPERLINK(""https://pathofexile.gamepedia.com/Birth_of_the_Three"",  ""Birth of the Three"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Goddess_Bound"",  ""The Goddess Bound"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Twilight_Strand_(Act_1)"",  ""The Twilight Strand (Act 1)"")","","","","","","",Hillock
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Blessing_of_God"",  ""Blessing of God"")",3,"=HYPERLINK("""",  ""Elreon's JewelleryItem Level: 85"")","","","","","","","",Can drop from monsters in Elreon missions.
